Count,GO Term
11,cytoplasm
10,membrane
9,nucleus
5,plasma membrane
5,protein binding
4,ATP binding
3,regulation of transcription by RNA polymerase II
3,sodium ion transmembrane transport
2,GTPase activator activity
2,Golgi apparatus
2,actin binding
2,chloride transmembrane transport
2,extracellular space
2,glutathione metabolic process
2,glutathione transferase activity
2,guanyl-nucleotide exchange factor activity
2,heme binding
2,innate immune response
2,intracellular signal transduction
2,mRNA 3'-UTR binding
2,mRNA binding
2,mitochondrion
2,nervous system development
2,peptidyl-serine phosphorylation
2,proteasome-mediated ubiquitin-dependent protein catabolic process
2,protein phosphorylation
2,proteolysis
2,serine-type endopeptidase activity
2,transmembrane transport
