genome,average_read_length
SRR6768001,95.9090909090909
SRR6768002,93.0
SRR6768003,95.21428571428571
SRR6768004,93.78217821782178
SRR6768005,98.40697674418605
SRR6768006,94.7
SRR6768007,94.47572815533981
SRR6768008,96.25
SRR6768009,94.21495327102804
SRR6768010,96.42574257425743
SRR6768011,95.6923076923077
SRR6768012,92.5673076923077
SRR6768013,93.5050505050505
SRR6768014,97.87058823529412
SRR6768015,96.71875
SRR6768016,94.05714285714286
SRR6768017,95.3010752688172
SRR6768018,95.89285714285714
SRR6768019,97.36458333333333
SRR6768020,97.6
SRR6768021,95.07142857142857
SRR6768022,95.38235294117646
SRR6768023,96.95
SRR6768024,95.10891089108911
SRR6768025,97.17241379310344
SRR6768026,101.88461538461539
SRR6768027,99.06593406593407
SRR6768028,96.67326732673267
SRR11006666,105.32876712328768
SRR11006824,89.51282051282051
SRR11006830,108.44
SRR11006847,115.55555555555556
FEMALE_1-F1_S1,119.26315789473684
FEMALE_10-F10_S2,128.8
FEMALE_11-F11_S3,122.73684210526316
FEMALE_12-F12_S4,126.53846153846153
FEMALE_14-F14_S6,132.54545454545453
FEMALE_15-F15_S7,116.25
FEMALE_17-F17_S9,132.35714285714286
FEMALE_18-F18_S10,131.8125
FEMALE_2-F2_S12,122.05882352941177
FEMALE_20-F20_S13,134.15384615384616
FEMALE_21-F21_S14,129.8235294117647
FEMALE_22-F22_S15,123.95454545454545
FEMALE_3-F3_S16,132.21428571428572
FEMALE_5-F5_S18,114.04545454545455
FEMALE_6-F6_S19,114.76923076923077
FEMALE_7-F7_S20,110.47826086956522
FEMALE_8-F8_S21,120.92592592592592
FEMALE_9-F9_S22,108.79310344827586
MALE_1-M1_S23,129.33333333333334
MALE_2-M2_S14,128.13636363636363
MALE_3-M3_S25,114.23333333333333
MALE_4-M4_S26,120.47058823529412
MALE_5-M5_S27,106.96551724137932
MALE_6-M6_S28,129.55555555555554
SRR11006665,107.38461538461539
SRR11006667,101.76470588235294
SRR11006668,105.18181818181819
SRR11006669,108.6969696969697
SRR11006670,107.54838709677419
SRR11006672,107.73846153846154
SRR11006673,107.38235294117646
SRR11006674,102.92647058823529
SRR11006675,105.01449275362319
SRR11006676,107.140625
SRR11006677,103.80281690140845
SRR11006678,107.21311475409836
SRR11006679,104.25974025974025
SRR11006680,112.53968253968254
SRR11006681,108.1159420289855
SRR11006683,110.14285714285714
SRR11006684,86.49152542372882
SRR11006685,100.37837837837837
SRR11006749,100.9090909090909
SRR11006751,99.20689655172414
SRR11006752,93.98947368421052
SRR11006753,98.91111111111111
SRR11006754,95.5
SRR11006755,98.67021276595744
SRR11006756,98.3103448275862
SRR11006757,96.91304347826087
SRR11006758,99.11827956989248
SRR11006759,97.09638554216868
SRR11006760,96.73404255319149
SRR11006762,102.06024096385542
SRR11006763,99.58333333333333
SRR11006764,101.1264367816092
SRR11006765,99.91011235955057
SRR11006766,102.5
SRR11006767,105.275
SRR11006768,98.24719101123596
SRR11006769,102.25925925925925
SRR11006820,87.5691056910569
SRR11006821,86.91735537190083
SRR11006823,83.32558139534883
SRR11006825,87.60655737704919
SRR11006826,86.624
SRR11006827,85.824
SRR11006828,88.36363636363636
SRR11006829,104.71604938271605
SRR11006831,103.69135802469135
SRR11006832,87.3
SRR11006834,87.28225806451613
SRR11006835,114.81967213114754
SRR11006836,114.25
SRR11006837,111.16279069767442
SRR11006838,120.5
SRR11006839,119.77777777777777
SRR11006840,120.725
SRR11006841,111.82222222222222
SRR11006842,118.5
SRR11006843,108.30952380952381
SRR11006846,117.61904761904762
SRR11006848,112.44736842105263
SRR11006849,125.45945945945945
SRR11006850,110.625
SRR11006851,119.76744186046511
SRR11006852,120.48717948717949
SRR11006853,107.70491803278688
SRR11006854,111.13953488372093
JB_A2_18_S1,86.89830508474576
JB_A2_19_S2,103.23333333333333
JB_A2_25_S3,115.47692307692307
JB_A2_29_S4,107.96296296296296
JB_A2_34_S5,94.84466019417475
JB_A2_35_S6,104.55294117647058
JB_A2_36_S7,91.99090909090908
JB_A2_39_S8,100.42708333333333
JB_A2_46_S9,115.37878787878788
JB_A2_50_S10,105.41111111111111
