chrom,start,end,TE_name,gene_name,gene_ID,frequency_Colombia
AaegL5_1,105481775,105482506,rnd_1_family_268_LINE_R1,GSTT4,AAEL004229;Name=GSTT4,0.875
AaegL5_1,135807258,135807956,rnd_5_family_5020_Unknown,CYP4G36,AAEL004054;Name=CYP4G36,0.5833333333333334
AaegL5_1,135808765,135809109,rnd_1_family_1213_DNA,CYP4G36,AAEL004054;Name=CYP4G36,0.6666666666666666
AaegL5_1,155947396,155948124,rnd_1_family_71_DNA,CYP315A1,AAEL011850;Name=CYP315A1,0.6666666666666666
AaegL5_1,286414990,286415161,rnd_1_family_34_SINE_tRNA,GSTZ1,AAEL011934;Name=GSTZ1,0.875
AaegL5_1,286429174,286430539,rnd_6_family_1738_Unknown,GSTZ1,AAEL011934;Name=GSTZ1,0.6666666666666666
AaegL5_1,301236516,301236900,rnd_1_family_844_Unknown,GSTD6,AAEL010591;Name=GSTD6,0.9583333333333334
AaegL5_2,58052110,58052476,rnd_1_family_34_SINE_tRNA,CYP4J16,AAEL014019;Name=CYP4J16,0.625
AaegL5_2,109585356,109585952,rnd_1_family_131_DNA,CYP301A1,AAEL014594;Name=CYP301A1,0.5416666666666666
AaegL5_2,109597156,109597519,rnd_3_family_619_DNA_Sola,CYP301A1,AAEL014594;Name=CYP301A1,0.7916666666666666
AaegL5_2,336363223,336363702,rnd_1_family_34_SINE_tRNA,CYP325X4,AAEL005700;Name=CYP325X4,0.5416666666666666
AaegL5_3,112455731,112455936,rnd_1_family_31_LTR_Gypsy,CYP325E3,AAEL000338;Name=CYP325E3,0.6666666666666666
AaegL5_3,152793773,152794165,rnd_5_family_1951_DNA_Sola,CYP4D38,AAEL007807;Name=CYP4D38,0.5833333333333334
AaegL5_3,152842160,152842275,rnd_1_family_738_Unknown,CYP4D39,AAEL007808;Name=CYP4D39,0.5833333333333334
AaegL5_3,301589684,301590022,rnd_5_family_864_DNA_CMC_Transib,NVY,AAEL014203,0.75
AaegL5_3,301899514,301899901,rnd_1_family_1017_LINE_CR1,NVY,AAEL014203,0.625
AaegL5_3,316029186,316029435,rnd_1_family_350_DNA_CMC_EnSpm,VGSC,AAEL023266,0.6666666666666666
AaegL5_3,316029186,316029435,rnd_1_family_350_DNA_CMC_EnSpm,,AAEL023266,0.6666666666666666
AaegL5_3,316173621,316174403,rnd_1_family_102_DNA_CMC_Chapaev,VGSC,AAEL023266,0.5833333333333334
AaegL5_3,316173621,316174403,rnd_1_family_102_DNA_CMC_Chapaev,,AAEL023266,0.5833333333333334
