TE_information,count_1/1_Colombia,frequency_Colombia,count_1/1_USA,frequency_USA,frequency_diff
AaegL5_1_110423448_110424228_rnd_1_family_131_DNA_+,24,1.0,2,0.07142857142857142,0.9285714285714286
AaegL5_1_310457890_310458664_rnd_1_family_71_DNA_-,23,0.9583333333333334,1,0.03571428571428571,0.9226190476190477
AaegL5_1_10976902_10977850_rnd_1_family_1120_Unknown_span_10976902_10977850_-,2,0.08333333333333333,28,1.0,0.9166666666666666
AaegL5_2_114194531_114195459_rnd_1_family_391_Unknown_-,1,0.041666666666666664,26,0.9285714285714286,0.886904761904762
AaegL5_2_31534840_31535710_rnd_1_family_1543_Unknown_+,1,0.041666666666666664,26,0.9285714285714286,0.886904761904762
AaegL5_1_11131415_11132308_rnd_1_family_456_DNA_span_11131415_11132308_-,2,0.08333333333333333,27,0.9642857142857143,0.8809523809523809
AaegL5_2_283705498_283706271_rnd_1_family_123_DNA_-,21,0.875,0,0.0,0.875
AaegL5_3_150690672_150691458_rnd_3_family_308_DNA_+,21,0.875,0,0.0,0.875
AaegL5_3_134453421_134454096_rnd_1_family_31_LTR_Gypsy_-,21,0.875,0,0.0,0.875
AaegL5_2_417100011_417100828_rnd_3_family_12_Unknown_+,24,1.0,4,0.14285714285714285,0.8571428571428572
