TE_information,count_1/1_Gabon,frequency_Gabon,count_1/1_Kenya,frequency_Kenya,frequency_diff
AaegL5_2_380390707_380391455_rnd_1_family_56_DNA_CMC_Chapaev_+,0,0.0,19,1.0,1.0
AaegL5_3_131649679_131650397_rnd_5_family_2396_LTR_Pao_span_131649679_131650397_+,0,0.0,19,1.0,1.0
AaegL5_2_382122108_382122989_rnd_6_family_300_DNA_hAT_Tip100_+,0,0.0,19,1.0,1.0
AaegL5_2_381756006_381756764_rnd_5_family_1425_Unknown_span_381756006_381756764_-,0,0.0,18,0.9473684210526315,0.9473684210526315
AaegL5_2_399347417_399348424_rnd_1_family_1557_Unknown_-,0,0.0,18,0.9473684210526315,0.9473684210526315
AaegL5_2_362687812_362688431_rnd_5_family_789_LTR_Pao_+,0,0.0,18,0.9473684210526315,0.9473684210526315
AaegL5_2_400172711_400173328_rnd_1_family_234_DNA_Sola_span_400172711_400173328_+,0,0.0,18,0.9473684210526315,0.9473684210526315
AaegL5_3_285221553_285222211_rnd_6_family_458_DNA_Crypton_+,0,0.0,18,0.9473684210526315,0.9473684210526315
AaegL5_3_65794376_65795046_rnd_1_family_31_LTR_Gypsy_-,0,0.0,18,0.9473684210526315,0.9473684210526315
AaegL5_3_73381915_73382529_rnd_5_family_789_LTR_Pao_-,1,0.07692307692307693,19,1.0,0.9230769230769231
