TE_information,count_1/1_USA,count_1/1_Kenya,count_1/1_Colombia,count_1/1_Senegal,count_1/1_Brazil,count_1/1_Gabon,chromosome,start,end,te_name,gene_symbol,gene_id,gene_name,GO_terms
AaegL5_1_105195379_105196306_rnd_1_family_322_Unknown_.,0.0,4.0,21.0,6.0,15.0,0.0,AaegL5_1,105195379,105196306,rnd_1_family_322_Unknown_.,AAEL004238,protein_coding_gene,ID=AAEL004238;description=unspecified product,toxic substance binding
AaegL5_1_108054851_108055215_rnd_1_family_133_DNA_TcMar_.,0.0,6.0,22.0,3.0,13.0,0.0,AaegL5_1,108054851,108055215,rnd_1_family_133_DNA_TcMar_.,AAEL002903,protein_coding_gene,ID=AAEL002903;Name=p110;description=phosphatidylinositol 3-kinase catalytic subunit alpha%2C beta%2C delta,cell migration; phosphatidylinositol-3-phosphate biosynthetic process; phosphatidylinositol 3-kinase/protein kinase B signal transduction; phosphatidylinositol-mediated signaling; cytoplasm; plasma membrane; phosphatidylinositol 3-kinase complex; 1-phosphatidylinositol-3-kinase activity; 1-phosphatidylinositol-4-phosphate 3-kinase activity
AaegL5_1_109148444_109149203_rnd_3_family_308_DNA_.,0.0,4.0,18.0,4.0,15.0,0.0,AaegL5_1,109148444,109149203,rnd_3_family_308_DNA_.,,,,
AaegL5_1_116924932_116925416_rnd_1_family_771_Unknown_.,0.0,1.0,22.0,2.0,4.0,0.0,AaegL5_1,116924932,116925416,rnd_1_family_771_Unknown_.,AAEL005834,protein_coding_gene,ID=AAEL005834;Name=GPRDOP2;description=GPCR Dopamine Family,adenylate cyclase-activating adrenergic receptor signaling pathway; membrane; adrenergic receptor activity
AaegL5_1_123399422_123399704_rnd_1_family_1128_Unknown_.,0.0,2.0,22.0,13.0,13.0,0.0,AaegL5_1,123399422,123399704,rnd_1_family_1128_Unknown_.,AAEL028013,protein_coding_gene,ID=AAEL028013;description=unspecified product,mitochondrion; transaminase activity; pyridoxal phosphate binding
AaegL5_1_156333257_156334246_rnd_1_family_95_Unknown_.,4.0,15.0,4.0,18.0,2.0,11.0,AaegL5_1,156333257,156334246,rnd_1_family_95_Unknown_.,,,,
AaegL5_1_16730275_16730670_rnd_1_family_500_LTR_Gypsy_.,0.0,0.0,4.0,8.0,15.0,0.0,AaegL5_1,16730275,16730670,rnd_1_family_500_LTR_Gypsy_.,AAEL013847,protein_coding_gene,ID=AAEL013847;description=diacylglycerol kinase%2C zeta%2C iota,intracellular signal transduction; diacylglycerol metabolic process; lipid phosphorylation; ATP-dependent diacylglycerol kinase activity; protein binding
AaegL5_1_171142911_171143595_rnd_5_family_2011_LTR_Gypsy_.,2.0,11.0,0.0,5.0,0.0,12.0,AaegL5_1,171142911,171143595,rnd_5_family_2011_LTR_Gypsy_.,AAEL027890,protein_coding_gene,ID=AAEL027890;description=unspecified product,multicellular organism development; proteasome-mediated ubiquitin-dependent protein catabolic process; cytoplasm; ubiquitin conjugating enzyme binding; ubiquitin protein ligase activity
AaegL5_1_173769232_173769679_rnd_1_family_321_SINE_tRNA_.,1.0,16.0,3.0,5.0,1.0,3.0,AaegL5_1,173769232,173769679,rnd_1_family_321_SINE_tRNA_.,AAEL008414,protein_coding_gene,ID=AAEL008414;description=unspecified product,
AaegL5_1_174363958_174364185_rnd_1_family_411_Unknown_.,0.0,15.0,0.0,3.0,1.0,4.0,AaegL5_1,174363958,174364185,rnd_1_family_411_Unknown_.,,,,
AaegL5_1_177727147_177728821_rnd_1_family_1092_DNA_.,17.0,17.0,5.0,9.0,0.0,6.0,AaegL5_1,177727147,177728821,rnd_1_family_1092_DNA_.,AAEL002741,protein_coding_gene,ID=AAEL002741;Name=SCRB6;description=Class B Scavenger Receptor (CD36 domain).,cytoplasm; membrane; scavenger receptor activity
AaegL5_1_193655478_193655852_rnd_1_family_522_DNA_Zator_.,0.0,2.0,14.0,3.0,14.0,0.0,AaegL5_1,193655478,193655852,rnd_1_family_522_DNA_Zator_.,AAEL020002,protein_coding_gene,ID=AAEL020002;description=unspecified product,regulation of proteolysis; proteasome-mediated ubiquitin-dependent protein catabolic process; nucleus; cytoplasm; ubiquitin protein ligase binding
AaegL5_1_196078411_196078773_rnd_1_family_341_LTR_Gypsy_.,11.0,0.0,6.0,17.0,5.0,3.0,AaegL5_1,196078411,196078773,rnd_1_family_341_LTR_Gypsy_.,AAEL020570,protein_coding_gene,ID=AAEL020570;description=unspecified product,nervous system development; external side of plasma membrane; receptor complex; signaling receptor activity
AaegL5_1_198259232_198259684_rnd_1_family_234_DNA_Sola_.,8.0,0.0,5.0,17.0,0.0,3.0,AaegL5_1,198259232,198259684,rnd_1_family_234_DNA_Sola_.,AAEL007518,protein_coding_gene,ID=AAEL007518;description=complexin%2C putative,neurotransmitter transport; synaptic vesicle exocytosis; regulation of neurotransmitter secretion; SNARE complex; terminal bouton; syntaxin binding
AaegL5_1_242700205_242700753_rnd_5_family_714_Unknown_.,0.0,1.0,7.0,5.0,14.0,0.0,AaegL5_1,242700205,242700753,rnd_5_family_714_Unknown_.,AAEL000079,protein_coding_gene,ID=AAEL000079;description=unspecified product,
AaegL5_1_250659911_250660170_rnd_1_family_158_DNA_Zator_.,0.0,1.0,22.0,7.0,6.0,0.0,AaegL5_1,250659911,250660170,rnd_1_family_158_DNA_Zator_.,AAEL003918,protein_coding_gene,ID=AAEL003918;description=calcium-dependent protein kinase,peptidyl-serine phosphorylation; intracellular signal transduction; protein autophosphorylation; nucleus; cytoplasm; calcium/calmodulin-dependent protein kinase activity; calmodulin binding; ATP binding; calcium-dependent protein serine/threonine kinase activity
AaegL5_1_263965081_263965311_rnd_1_family_107_Unknown_.,0.0,0.0,21.0,0.0,2.0,0.0,AaegL5_1,263965081,263965311,rnd_1_family_107_Unknown_.,,,,
AaegL5_1_268073580_268073876_rnd_1_family_149_DNA_hAT_Tip100_.,0.0,2.0,22.0,7.0,4.0,0.0,AaegL5_1,268073580,268073876,rnd_1_family_149_DNA_hAT_Tip100_.,AAEL010407,protein_coding_gene,ID=AAEL010407;description=unspecified product,
AaegL5_1_269487483_269487738_rnd_1_family_677_DNA_TcMar_Tc1_.,0.0,3.0,22.0,0.0,2.0,0.0,AaegL5_1,269487483,269487738,rnd_1_family_677_DNA_TcMar_Tc1_.,AAEL019844,protein_coding_gene,ID=AAEL019844;description=unspecified product,"negative regulation of cytoplasmic translation; nucleus; cytoplasm; neuron projection; synapse; mRNA regulatory element binding translation repressor activity; mRNA 3'-UTR binding; translation factor activity, RNA binding; ribosome binding"
AaegL5_1_271388321_271388469_rnd_1_family_226_DNA_hAT_Ac_.,0.0,0.0,0.0,16.0,0.0,1.0,AaegL5_1,271388321,271388469,rnd_1_family_226_DNA_hAT_Ac_.,AAEL019513,protein_coding_gene,ID=AAEL019513;description=unspecified product,cell communication; sodium ion transmembrane transport; calcium ion import across plasma membrane; axon; sarcolemma; postsynapse; calcium:sodium antiporter activity
AaegL5_1_271402372_271402953_rnd_1_family_337_DNA_Sola_.,0.0,1.0,15.0,18.0,7.0,0.0,AaegL5_1,271402372,271402953,rnd_1_family_337_DNA_Sola_.,AAEL014891,protein_coding_gene,ID=AAEL014891;Name=CYP6P12;description=cytochrome P450,"monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding"
