TE_information,count_1/1_Kenya,frequency_Kenya,count_1/1_Gabon,frequency_Gabon,frequency_diff
AaegL5_3_212572939_212573209_rnd_1_family_712_Unknown_.,0,0.0,11,0.8461538461538461,0.8461538461538461
AaegL5_3_276034181_276036360_rnd_1_family_688_LINE_CR1_.,2,0.10526315789473684,12,0.9230769230769231,0.8178137651821863
AaegL5_3_301117482_301118385_rnd_1_family_467_Unknown_.,1,0.05263157894736842,11,0.8461538461538461,0.7935222672064777
AaegL5_2_379691770_379692242_rnd_1_family_337_DNA_Sola_.,0,0.0,10,0.7692307692307693,0.7692307692307693
AaegL5_2_343827921_343828110_rnd_1_family_243_DNA_Sola_.,0,0.0,10,0.7692307692307693,0.7692307692307693
AaegL5_2_341337420_341337733_rnd_1_family_158_DNA_Zator_.,0,0.0,10,0.7692307692307693,0.7692307692307693
AaegL5_3_300919107_300919607_rnd_1_family_212_DNA_.,0,0.0,10,0.7692307692307693,0.7692307692307693
AaegL5_3_218682555_218682924_rnd_6_family_2096_LINE_L1_.,0,0.0,10,0.7692307692307693,0.7692307692307693
AaegL5_2_383930100_383931236_rnd_1_family_235_DNA_Sola_.,0,0.0,10,0.7692307692307693,0.7692307692307693
AaegL5_3_103074590_103074981_rnd_1_family_469_DNA_TcMar_Tc1_.,0,0.0,10,0.7692307692307693,0.7692307692307693
