,TE_information,count_1/1_USA,count_1/1_Kenya,count_1/1_Colombia,count_1/1_Senegal,count_1/1_Brazil,count_1/1_Gabon,chromosome,start,end,te_name,gene_symbol,gene_id,gene_name
0,AaegL5_1_105195379_105196306_rnd_1_family_322_Unknown_.,0.0,4.0,21.0,6.0,15.0,0.0,AaegL5_1,105195379,105196306,rnd_1_family_322_Unknown_.,ID=AAEL004238,protein_coding_gene,ID=AAEL004238;description=unspecified product
1,AaegL5_1_108054851_108055215_rnd_1_family_133_DNA_TcMar_.,0.0,6.0,22.0,3.0,13.0,0.0,AaegL5_1,108054851,108055215,rnd_1_family_133_DNA_TcMar_.,ID=AAEL002903,protein_coding_gene,ID=AAEL002903;Name=p110;description=phosphatidylinositol 3-kinase catalytic subunit alpha%2C beta%2C delta
2,AaegL5_1_109148444_109149203_rnd_3_family_308_DNA_.,0.0,4.0,18.0,4.0,15.0,0.0,AaegL5_1,109148444,109149203,rnd_3_family_308_DNA_.,,,
3,AaegL5_1_116924932_116925416_rnd_1_family_771_Unknown_.,0.0,1.0,22.0,2.0,4.0,0.0,AaegL5_1,116924932,116925416,rnd_1_family_771_Unknown_.,ID=AAEL005834,protein_coding_gene,ID=AAEL005834;Name=GPRDOP2;description=GPCR Dopamine Family
4,AaegL5_1_123399422_123399704_rnd_1_family_1128_Unknown_.,0.0,2.0,22.0,13.0,13.0,0.0,AaegL5_1,123399422,123399704,rnd_1_family_1128_Unknown_.,ID=AAEL028013,protein_coding_gene,ID=AAEL028013;description=unspecified product
5,AaegL5_1_156333257_156334246_rnd_1_family_95_Unknown_.,4.0,15.0,4.0,18.0,2.0,11.0,AaegL5_1,156333257,156334246,rnd_1_family_95_Unknown_.,,,
6,AaegL5_1_16730275_16730670_rnd_1_family_500_LTR_Gypsy_.,0.0,0.0,4.0,8.0,15.0,0.0,AaegL5_1,16730275,16730670,rnd_1_family_500_LTR_Gypsy_.,ID=AAEL013847,protein_coding_gene,ID=AAEL013847;description=diacylglycerol kinase%2C zeta%2C iota
7,AaegL5_1_171142911_171143595_rnd_5_family_2011_LTR_Gypsy_.,2.0,11.0,0.0,5.0,0.0,12.0,AaegL5_1,171142911,171143595,rnd_5_family_2011_LTR_Gypsy_.,ID=AAEL027890,protein_coding_gene,ID=AAEL027890;description=unspecified product
8,AaegL5_1_173769232_173769679_rnd_1_family_321_SINE_tRNA_.,1.0,16.0,3.0,5.0,1.0,3.0,AaegL5_1,173769232,173769679,rnd_1_family_321_SINE_tRNA_.,ID=AAEL008414,protein_coding_gene,ID=AAEL008414;description=unspecified product
9,AaegL5_1_174363958_174364185_rnd_1_family_411_Unknown_.,0.0,15.0,0.0,3.0,1.0,4.0,AaegL5_1,174363958,174364185,rnd_1_family_411_Unknown_.,,,
