TE_information,count_1/1_Senegal,frequency_Senegal,count_1/1_Gabon,frequency_Gabon,frequency_diff
AaegL5_1_294719346_294719657_rnd_4_family_964_LTR_Copia_.,18,0.9,0,0.0,0.9
AaegL5_1_271402372_271402953_rnd_1_family_337_DNA_Sola_.,18,0.9,0,0.0,0.9
AaegL5_2_162256773_162257315_rnd_4_family_133_Unknown_.,1,0.05,12,0.9230769230769231,0.8730769230769231
AaegL5_2_312020665_312021508_rnd_1_family_734_LTR_Gypsy_.,17,0.85,0,0.0,0.85
AaegL5_2_239938565_239938941_rnd_1_family_496_DNA_.,0,0.0,11,0.8461538461538461,0.8461538461538461
AaegL5_1_280262341_280262977_rnd_1_family_351_DNA_hAT_hATm_.,17,0.85,1,0.07692307692307693,0.773076923076923
AaegL5_2_246894802_246895563_rnd_5_family_153_Unknown_.,17,0.85,1,0.07692307692307693,0.773076923076923
AaegL5_2_196130477_196130847_rnd_1_family_247_DNA_.,17,0.85,1,0.07692307692307693,0.773076923076923
AaegL5_2_261663762_261664116_rnd_1_family_235_DNA_Sola_.,0,0.0,10,0.7692307692307693,0.7692307692307693
AaegL5_3_194752623_194752882_rnd_1_family_341_LTR_Gypsy_.,0,0.0,10,0.7692307692307693,0.7692307692307693
