TE_information,count_1/1_Brazil,frequency_Brazil,count_1/1_Gabon,frequency_Gabon,frequency_diff
AaegL5_2_351088912_351089311_rnd_6_family_287_LINE_I_.,18,1.0,0,0.0,1.0
AaegL5_2_186267514_186268909_rnd_1_family_791_LTR_Copia_.,0,0.0,13,1.0,1.0
AaegL5_2_351471388_351471874_rnd_1_family_696_Unknown_.,18,1.0,0,0.0,1.0
AaegL5_2_187416907_187417196_rnd_1_family_448_Unknown_.,17,0.9444444444444444,0,0.0,0.9444444444444444
AaegL5_3_187984968_187985766_rnd_1_family_266_LTR_Gypsy_.,17,0.9444444444444444,0,0.0,0.9444444444444444
AaegL5_3_315143350_315143739_rnd_1_family_677_DNA_TcMar_Tc1_.,17,0.9444444444444444,0,0.0,0.9444444444444444
AaegL5_1_171142911_171143595_rnd_5_family_2011_LTR_Gypsy_.,0,0.0,12,0.9230769230769231,0.9230769230769231
AaegL5_2_214962457_214962763_rnd_5_family_488_Unknown_.,0,0.0,12,0.9230769230769231,0.9230769230769231
AaegL5_2_351232666_351233040_rnd_1_family_1616_Unknown_.,16,0.8888888888888888,0,0.0,0.8888888888888888
AaegL5_2_122399661_122400066_rnd_5_family_955_Unknown_.,16,0.8888888888888888,0,0.0,0.8888888888888888
