TE_information,count_1/1_Kenya,frequency_Kenya,count_1/1_Colombia,frequency_Colombia,frequency_diff
AaegL5_2_395152109_395153673_rnd_1_family_9_LTR_Copia_.,0,0.0,23,0.9583333333333334,0.9583333333333334
AaegL5_1_301236516_301236900_rnd_1_family_844_Unknown_.,0,0.0,23,0.9583333333333334,0.9583333333333334
AaegL5_3_104590957_104591170_rnd_1_family_1024_LTR_Gypsy_.,0,0.0,23,0.9583333333333334,0.9583333333333334
AaegL5_3_178427113_178427466_rnd_1_family_34_SINE_tRNA_.,0,0.0,22,0.9166666666666666,0.9166666666666666
AaegL5_2_109392995_109393195_rnd_1_family_34_SINE_tRNA_.,0,0.0,22,0.9166666666666666,0.9166666666666666
AaegL5_1_271462368_271462786_rnd_1_family_737_Unknown_.,0,0.0,22,0.9166666666666666,0.9166666666666666
AaegL5_2_351340950_351341397_rnd_4_family_872_SINE_tRNA_.,0,0.0,22,0.9166666666666666,0.9166666666666666
AaegL5_1_271576927_271578244_rnd_1_family_34_SINE_tRNA_.,1,0.05263157894736842,23,0.9583333333333334,0.9057017543859649
AaegL5_2_187028192_187028719_rnd_1_family_149_DNA_hAT_Tip100_.,0,0.0,21,0.875,0.875
AaegL5_2_413387198_413387626_rnd_1_family_411_Unknown_.,0,0.0,21,0.875,0.875
