TE_information,count_1/1_Colombia,frequency_Colombia,count_1/1_Gabon,frequency_Gabon,frequency_diff
AaegL5_1_301236516_301236900_rnd_1_family_844_Unknown_.,23,0.9583333333333334,0,0.0,0.9583333333333334
AaegL5_2_186267514_186268909_rnd_1_family_791_LTR_Copia_.,1,0.041666666666666664,13,1.0,0.9583333333333334
AaegL5_1_271576927_271578244_rnd_1_family_34_SINE_tRNA_.,23,0.9583333333333334,0,0.0,0.9583333333333334
AaegL5_3_104590957_104591170_rnd_1_family_1024_LTR_Gypsy_.,23,0.9583333333333334,0,0.0,0.9583333333333334
AaegL5_1_52341122_52341376_rnd_1_family_48_Unknown_.,23,0.9583333333333334,0,0.0,0.9583333333333334
AaegL5_2_395152109_395153673_rnd_1_family_9_LTR_Copia_.,23,0.9583333333333334,0,0.0,0.9583333333333334
AaegL5_1_171142911_171143595_rnd_5_family_2011_LTR_Gypsy_.,0,0.0,12,0.9230769230769231,0.9230769230769231
AaegL5_2_162256773_162257315_rnd_4_family_133_Unknown_.,0,0.0,12,0.9230769230769231,0.9230769230769231
AaegL5_2_351340950_351341397_rnd_4_family_872_SINE_tRNA_.,22,0.9166666666666666,0,0.0,0.9166666666666666
AaegL5_1_301153327_301153942_rnd_3_family_12_Unknown_.,22,0.9166666666666666,0,0.0,0.9166666666666666
