,TE_information,count_1/1_Senegal,count_1/1_Gabon,count_1/1_Kenya,count_1/1_Colombia,count_1/1_Brazil,count_1/1_USA,chromosome,start,end,te_name,gene_symbol,gene_id,gene_name
0,AaegL5_1_102200959_102201670_rnd_1_family_9_LTR_Copia_span_102200959_102201670_-,0.0,4.0,0.0,21.0,15.0,28.0,AaegL5_1,102200959,102201670,rnd_1_family_9_LTR_Copia_span_102200959_102201670_-,ID=AAEL022806,protein_coding_gene,ID=AAEL022806;description=unspecified product
1,AaegL5_1_107459234_107459984_rnd_1_family_56_DNA_CMC_Chapaev_-,20.0,10.0,1.0,24.0,18.0,28.0,AaegL5_1,107459234,107459984,rnd_1_family_56_DNA_CMC_Chapaev_-,,,
2,AaegL5_1_10976902_10977850_rnd_1_family_1120_Unknown_span_10976902_10977850_-,20.0,13.0,19.0,2.0,12.0,28.0,AaegL5_1,10976902,10977850,rnd_1_family_1120_Unknown_span_10976902_10977850_-,ID=AAEL002321,protein_coding_gene,ID=AAEL002321;description=paired box protein pax-6
3,AaegL5_1_110423448_110424228_rnd_1_family_131_DNA_+,6.0,2.0,4.0,24.0,3.0,2.0,AaegL5_1,110423448,110424228,rnd_1_family_131_DNA_+,,,
4,AaegL5_1_11131415_11132308_rnd_1_family_456_DNA_span_11131415_11132308_-,16.0,10.0,14.0,2.0,10.0,27.0,AaegL5_1,11131415,11132308,rnd_1_family_456_DNA_span_11131415_11132308_-,,,
5,AaegL5_1_154944798_154945405_rnd_1_family_1589_Unknown_span_154944798_154945405_-,0.0,3.0,0.0,24.0,18.0,23.0,AaegL5_1,154944798,154945405,rnd_1_family_1589_Unknown_span_154944798_154945405_-,ID=AAEL013404,protein_coding_gene,ID=AAEL013404;description=tetraspanin%2C putative
6,AaegL5_1_170718365_170718978_rnd_5_family_789_LTR_Pao_-,14.0,7.0,14.0,22.0,17.0,2.0,AaegL5_1,170718365,170718978,rnd_5_family_789_LTR_Pao_-,ID=AAEL000123,protein_coding_gene,ID=AAEL000123;description=unspecified product
7,AaegL5_1_175094564_175095241_rnd_1_family_102_DNA_CMC_Chapaev_-,0.0,3.0,0.0,24.0,18.0,23.0,AaegL5_1,175094564,175095241,rnd_1_family_102_DNA_CMC_Chapaev_-,ID=AAEL002410,protein_coding_gene,ID=AAEL002410;description=unspecified product
8,AaegL5_1_185372070_185372777_rnd_4_family_371_DNA_hAT_hATx_span_185372070_185372777_+,0.0,4.0,0.0,23.0,18.0,21.0,AaegL5_1,185372070,185372777,rnd_4_family_371_DNA_hAT_hATx_span_185372070_185372777_+,ID=AAEL001060,protein_coding_gene,ID=AAEL001060;description=unspecified product
9,AaegL5_1_185372079_185372773_rnd_6_family_1788_DNA_TcMar_Fot1_+,0.0,4.0,0.0,23.0,18.0,21.0,AaegL5_1,185372079,185372773,rnd_6_family_1788_DNA_TcMar_Fot1_+,ID=AAEL001060,protein_coding_gene,ID=AAEL001060;description=unspecified product
10,AaegL5_1_217488433_217489033_rnd_5_family_1826_DNA_TcMar_+,20.0,7.0,1.0,24.0,18.0,21.0,AaegL5_1,217488433,217489033,rnd_5_family_1826_DNA_TcMar_+,ID=AAEL019433,protein_coding_gene,ID=AAEL019433;description=TK receptor [Source:UniProtKB/TrEMBL%3BAcc:A0A411JKC6]
11,AaegL5_1_268565314_268566004_rnd_6_family_2293_Unknown_span_268565314_268566004_-,0.0,0.0,0.0,24.0,12.0,15.0,AaegL5_1,268565314,268566004,rnd_6_family_2293_Unknown_span_268565314_268566004_-,,,
12,AaegL5_1_285589483_285590158_rnd_1_family_102_DNA_CMC_Chapaev_+,0.0,0.0,0.0,14.0,10.0,27.0,AaegL5_1,285589483,285590158,rnd_1_family_102_DNA_CMC_Chapaev_+,ID=AAEL011983,protein_coding_gene,ID=AAEL011983;description=Scaffold protein salvador (shar-pei) [Source:UniProtKB/TrEMBL%3BAcc:A0A1S4FUS9]
13,AaegL5_1_291336601_291337351_rnd_1_family_67_DNA_CMC_Chapaev_-,0.0,1.0,0.0,22.0,6.0,27.0,AaegL5_1,291336601,291337351,rnd_1_family_67_DNA_CMC_Chapaev_-,ID=AAEL019685,protein_coding_gene,ID=AAEL019685;description=unspecified product
14,AaegL5_1_29767322_29768096_rnd_1_family_71_DNA_-,0.0,0.0,0.0,6.0,0.0,23.0,AaegL5_1,29767322,29768096,rnd_1_family_71_DNA_-,ID=AAEL014853,protein_coding_gene,ID=AAEL014853;description=otoferlin
