TE_information,count_1/1_Gabon,frequency_Gabon,count_1/1_Brazil,frequency_Brazil,frequency_diff
AaegL5_2_436695081_436695759_rnd_1_family_31_LTR_Gypsy_-,0,0.0,18,1.0,1.0
AaegL5_3_244449083_244449706_rnd_1_family_350_DNA_CMC_EnSpm_+,0,0.0,18,1.0,1.0
AaegL5_1_41558910_41559604_rnd_3_family_75_DNA_TcMar_Fot1_+,13,1.0,0,0.0,1.0
AaegL5_3_58138110_58138769_rnd_1_family_259_SINE_ID_span_58138110_58138769_-,0,0.0,18,1.0,1.0
AaegL5_2_270084559_270085254_rnd_1_family_63_LTR_Gypsy_-,0,0.0,18,1.0,1.0
AaegL5_3_132155687_132156310_rnd_1_family_350_DNA_CMC_EnSpm_+,0,0.0,18,1.0,1.0
AaegL5_3_386125310_386126096_rnd_4_family_276_DNA_+,0,0.0,18,1.0,1.0
AaegL5_2_364364653_364365262_rnd_4_family_933_LTR_Copia_span_364364653_364365262_-,0,0.0,18,1.0,1.0
AaegL5_2_163064979_163065686_rnd_3_family_698_DNA_CMC_Chapaev_+,0,0.0,18,1.0,1.0
AaegL5_2_165870737_165871513_rnd_1_family_123_DNA_+,0,0.0,18,1.0,1.0
