TE_information,count_1/1_Colombia,frequency_Colombia,count_1/1_Brazil,frequency_Brazil,frequency_diff
AaegL5_2_402314308_402314971_rnd_3_family_1017_DNA_TcMar_-,24,1.0,0,0.0,1.0
AaegL5_2_45856941_45857564_rnd_4_family_1277_Unknown_-,24,1.0,0,0.0,1.0
AaegL5_2_417448492_417449098_rnd_1_family_350_DNA_CMC_EnSpm_+,24,1.0,0,0.0,1.0
AaegL5_1_74316718_74317382_rnd_1_family_1265_Unknown_+,23,0.9583333333333334,0,0.0,0.9583333333333334
AaegL5_3_16191821_16192495_rnd_1_family_31_LTR_Gypsy_+,23,0.9583333333333334,0,0.0,0.9583333333333334
AaegL5_3_104357671_104358358_rnd_1_family_768_Unknown_+,23,0.9583333333333334,0,0.0,0.9583333333333334
AaegL5_3_103853650_103854436_rnd_3_family_308_DNA_-,23,0.9583333333333334,0,0.0,0.9583333333333334
AaegL5_2_371759239_371759848_rnd_2_family_34_LINE_Jockey_-,24,1.0,1,0.05555555555555555,0.9444444444444444
AaegL5_1_32213335_32213950_rnd_4_family_1277_Unknown_+,24,1.0,1,0.05555555555555555,0.9444444444444444
AaegL5_2_439413324_439414061_rnd_1_family_1587_Unknown_span_439413324_439414061_-,24,1.0,1,0.05555555555555555,0.9444444444444444
