TE_information,count_1/1_USA,frequency_USA,count_1/1_Gabon,frequency_Gabon,frequency_diff
AaegL5_2_78538019_78538391_rnd_1_family_188_DNA_TcMar_Fot1_.,25,0.8928571428571429,0,0.0,0.8928571428571429
AaegL5_2_162256773_162257315_rnd_4_family_133_Unknown_.,1,0.03571428571428571,12,0.9230769230769231,0.8873626373626374
AaegL5_2_424119473_424120280_rnd_1_family_235_DNA_Sola_.,24,0.8571428571428571,0,0.0,0.8571428571428571
AaegL5_3_344968066_344968476_rnd_1_family_663_LTR_Pao_.,2,0.07142857142857142,12,0.9230769230769231,0.8516483516483517
AaegL5_1_171142911_171143595_rnd_5_family_2011_LTR_Gypsy_.,2,0.07142857142857142,12,0.9230769230769231,0.8516483516483517
AaegL5_3_212572939_212573209_rnd_1_family_712_Unknown_.,0,0.0,11,0.8461538461538461,0.8461538461538461
AaegL5_3_58045326_58045817_rnd_1_family_147_Unknown_.,23,0.8214285714285714,0,0.0,0.8214285714285714
AaegL5_2_92522551_92523876_rnd_1_family_426_DNA_CMC_Chapaev_.,5,0.17857142857142858,13,1.0,0.8214285714285714
AaegL5_3_207936369_207937024_rnd_1_family_411_Unknown_.,3,0.10714285714285714,12,0.9230769230769231,0.815934065934066
AaegL5_3_288642385_288643499_rnd_3_family_141_LINE_Jockey_.,3,0.10714285714285714,12,0.9230769230769231,0.815934065934066
